17,,,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S
16,,,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.4.+.S,H.0.+.S,H.0.+.H
15,,,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.0.+.H,H.4.+.S,H.0.+.H
14,,,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
13,,,S.-1.-.H,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
12,,,H.3.+.S,H.2.+.S,S.0.-.H,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
11,,,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,H.1.+.D
10,,,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,H.4.+.D,H.4.+.D
9,,,H.1.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,H.3.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
8,,,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.2.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
A.9,,,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S
A.8,,,S.0.+.S,S.0.+.S,S.3.+.Ds,S.1.+.Ds,S.1.+.Ds,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S,S.0.+.S
A.7,,,Ds.0.+.Ds,Ds.0.+.Ds,Ds.0.+.Ds,Ds.0.+.Ds,Ds.0.+.Ds,S.0.+.S,S.0.+.S,H.0.+.H,H.0.+.H,H.0.+.H
A.6,,,H.1.+.D,D.0.+.D,D.0.+.D,D.0.+.D,D.0.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
A.5,,,H.0.+.H,H.0.+.H,D.0.+.D,D.0.+.D,D.0.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
A.4,,,H.0.+.H,H.0.+.H,D.0.+.D,D.0.+.D,D.0.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
A.3,,,H.0.+.H,H.0.+.H,H.0.+.H,D.0.+.D,D.0.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
A.2,,,H.0.+.H,H.0.+.H,H.0.+.H,D.0.+.D,D.0.+.D,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H,H.0.+.H
11,,,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y
10,,,N.0.+.N,N.0.+.N,N.6.+.Y,N.5.+.Y,N.4.+.Y,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
9,,,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,N.0.+.N,Y.0.+.Y,Y.0.+.Y,N.0.+.N,N.0.+.N
8,,,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y
7,,,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
6,,,Y/N.0.+.Y/N,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
5,,,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
4,,,N.0.+.N,N.0.+.N,N.0.+.N,Y/N.0.+.Y/N,Y/N.0.+.Y/N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
3,,,Y/N.0.+.Y/N,Y/N.0.+.Y/N,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
2,,,Y/N.0.+.Y/N,Y/N.0.+.Y/N,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,Y.0.+.Y,N.0.+.N,N.0.+.N,N.0.+.N,N.0.+.N
,,,,,,,,,,,,
16,,,,,,,,,H.4.+.Surr,Surr.-1.-.H,Surr.0.+.Surr,Surr.0.+.Surr
15,,,,,,,,,,H.2.+.Surr,Surr.0.-.H,H.2.+.Surr
,,,2,3,4,5,6,7,8,9,10,A
